utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
16 %, 6 %, 5934 MiB, 4958 MiB, 976 MiB
15 %, 6 %, 5934 MiB, 4958 MiB, 976 MiB
2 %, 1 %, 5934 MiB, 4958 MiB, 976 MiB
47 %, 10 %, 5934 MiB, 4958 MiB, 976 MiB
8 %, 1 %, 5934 MiB, 4958 MiB, 976 MiB
10 %, 3 %, 5934 MiB, 4958 MiB, 976 MiB
13 %, 5 %, 5934 MiB, 4958 MiB, 976 MiB
7 %, 3 %, 5934 MiB, 4958 MiB, 976 MiB
9 %, 3 %, 5934 MiB, 4958 MiB, 976 MiB
11 %, 4 %, 5934 MiB, 4958 MiB, 976 MiB
17 %, 6 %, 5934 MiB, 4958 MiB, 976 MiB
7 %, 3 %, 5934 MiB, 4958 MiB, 976 MiB
19 %, 7 %, 5934 MiB, 4948 MiB, 986 MiB
11 %, 4 %, 5934 MiB, 4958 MiB, 976 MiB
5 %, 2 %, 5934 MiB, 4958 MiB, 976 MiB
17 %, 6 %, 5934 MiB, 4958 MiB, 976 MiB
16 %, 6 %, 5934 MiB, 4958 MiB, 976 MiB
5 %, 2 %, 5934 MiB, 4958 MiB, 976 MiB
19 %, 7 %, 5934 MiB, 4958 MiB, 976 MiB
11 %, 4 %, 5934 MiB, 4958 MiB, 976 MiB
16 %, 6 %, 5934 MiB, 4956 MiB, 978 MiB
14 %, 5 %, 5934 MiB, 4956 MiB, 978 MiB
2 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
5 %, 2 %, 5934 MiB, 4956 MiB, 978 MiB
7 %, 3 %, 5934 MiB, 4956 MiB, 978 MiB
2 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
7 %, 3 %, 5934 MiB, 4956 MiB, 978 MiB
18 %, 7 %, 5934 MiB, 4956 MiB, 978 MiB
5 %, 2 %, 5934 MiB, 4956 MiB, 978 MiB
3 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
4 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
7 %, 3 %, 5934 MiB, 4956 MiB, 978 MiB
3 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
4 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
9 %, 3 %, 5934 MiB, 4945 MiB, 989 MiB
3 %, 1 %, 5934 MiB, 4955 MiB, 979 MiB
14 %, 5 %, 5934 MiB, 4955 MiB, 979 MiB
5 %, 2 %, 5934 MiB, 4955 MiB, 979 MiB
23 %, 9 %, 5934 MiB, 4955 MiB, 979 MiB
5 %, 0 %, 5934 MiB, 4956 MiB, 978 MiB
2 %, 0 %, 5934 MiB, 4956 MiB, 978 MiB
10 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
11 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
2 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
5 %, 2 %, 5934 MiB, 4956 MiB, 978 MiB
3 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
19 %, 7 %, 5934 MiB, 4956 MiB, 978 MiB
10 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
17 %, 7 %, 5934 MiB, 4956 MiB, 978 MiB
15 %, 6 %, 5934 MiB, 4956 MiB, 978 MiB
10 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
21 %, 8 %, 5934 MiB, 4956 MiB, 978 MiB
8 %, 3 %, 5934 MiB, 4956 MiB, 978 MiB
14 %, 5 %, 5934 MiB, 4956 MiB, 978 MiB
13 %, 5 %, 5934 MiB, 4956 MiB, 978 MiB
15 %, 6 %, 5934 MiB, 4956 MiB, 978 MiB
10 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
12 %, 5 %, 5934 MiB, 4956 MiB, 978 MiB
15 %, 6 %, 5934 MiB, 4956 MiB, 978 MiB
5 %, 2 %, 5934 MiB, 4956 MiB, 978 MiB
10 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
6 %, 2 %, 5934 MiB, 4956 MiB, 978 MiB
3 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
12 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
14 %, 5 %, 5934 MiB, 4956 MiB, 978 MiB
10 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
12 %, 5 %, 5934 MiB, 4956 MiB, 978 MiB
7 %, 3 %, 5934 MiB, 4956 MiB, 978 MiB
14 %, 5 %, 5934 MiB, 4956 MiB, 978 MiB
2 %, 1 %, 5934 MiB, 4956 MiB, 978 MiB
5 %, 2 %, 5934 MiB, 4956 MiB, 978 MiB
10 %, 4 %, 5934 MiB, 4956 MiB, 978 MiB
16 %, 6 %, 5934 MiB, 4945 MiB, 989 MiB
7 %, 3 %, 5934 MiB, 4955 MiB, 979 MiB
14 %, 5 %, 5934 MiB, 4955 MiB, 979 MiB
20 %, 2 %, 5934 MiB, 4955 MiB, 979 MiB
1 %, 0 %, 5934 MiB, 4955 MiB, 979 MiB
5 %, 1 %, 5934 MiB, 4955 MiB, 979 MiB
9 %, 4 %, 5934 MiB, 4955 MiB, 979 MiB
29 %, 6 %, 5934 MiB, 4955 MiB, 979 MiB
3 %, 0 %, 5934 MiB, 4955 MiB, 979 MiB
5 %, 1 %, 5934 MiB, 4955 MiB, 979 MiB
9 %, 4 %, 5934 MiB, 4955 MiB, 979 MiB
7 %, 3 %, 5934 MiB, 4955 MiB, 979 MiB
9 %, 3 %, 5934 MiB, 4955 MiB, 979 MiB
12 %, 4 %, 5934 MiB, 4955 MiB, 979 MiB
12 %, 5 %, 5934 MiB, 4955 MiB, 979 MiB
12 %, 4 %, 5934 MiB, 4955 MiB, 979 MiB
12 %, 4 %, 5934 MiB, 4955 MiB, 979 MiB
10 %, 4 %, 5934 MiB, 4955 MiB, 979 MiB
7 %, 3 %, 5934 MiB, 4955 MiB, 979 MiB
37 %, 8 %, 5934 MiB, 4944 MiB, 990 MiB
19 %, 2 %, 5934 MiB, 4901 MiB, 1033 MiB
24 %, 3 %, 5934 MiB, 4884 MiB, 1050 MiB
5 %, 1 %, 5934 MiB, 4884 MiB, 1050 MiB
20 %, 7 %, 5934 MiB, 4883 MiB, 1051 MiB
4 %, 2 %, 5934 MiB, 4883 MiB, 1051 MiB
31 %, 12 %, 5934 MiB, 4872 MiB, 1062 MiB
26 %, 11 %, 5934 MiB, 4872 MiB, 1062 MiB
12 %, 5 %, 5934 MiB, 4876 MiB, 1058 MiB
38 %, 18 %, 5934 MiB, 4870 MiB, 1064 MiB
23 %, 3 %, 5934 MiB, 4861 MiB, 1073 MiB
3 %, 0 %, 5934 MiB, 4872 MiB, 1062 MiB
29 %, 6 %, 5934 MiB, 4906 MiB, 1028 MiB
42 %, 9 %, 5934 MiB, 4906 MiB, 1028 MiB
9 %, 1 %, 5934 MiB, 4905 MiB, 1029 MiB
28 %, 9 %, 5934 MiB, 4906 MiB, 1028 MiB
32 %, 5 %, 5934 MiB, 4906 MiB, 1028 MiB
22 %, 2 %, 5934 MiB, 4906 MiB, 1028 MiB
14 %, 2 %, 5934 MiB, 4923 MiB, 1011 MiB
35 %, 10 %, 5934 MiB, 4910 MiB, 1024 MiB
22 %, 3 %, 5934 MiB, 4901 MiB, 1033 MiB
21 %, 3 %, 5934 MiB, 4901 MiB, 1033 MiB
11 %, 1 %, 5934 MiB, 4901 MiB, 1033 MiB
16 %, 6 %, 5934 MiB, 4903 MiB, 1031 MiB
33 %, 7 %, 5934 MiB, 4906 MiB, 1028 MiB
23 %, 3 %, 5934 MiB, 4909 MiB, 1025 MiB
16 %, 2 %, 5934 MiB, 4928 MiB, 1006 MiB
26 %, 7 %, 5934 MiB, 4905 MiB, 1029 MiB
26 %, 4 %, 5934 MiB, 4906 MiB, 1028 MiB
8 %, 1 %, 5934 MiB, 4906 MiB, 1028 MiB
16 %, 2 %, 5934 MiB, 4906 MiB, 1028 MiB
26 %, 3 %, 5934 MiB, 4916 MiB, 1018 MiB
37 %, 7 %, 5934 MiB, 4909 MiB, 1025 MiB
0 %, 0 %, 5934 MiB, 4918 MiB, 1016 MiB
3 %, 0 %, 5934 MiB, 4928 MiB, 1006 MiB
0 %, 0 %, 5934 MiB, 4928 MiB, 1006 MiB
0 %, 0 %, 5934 MiB, 4928 MiB, 1006 MiB
0 %, 0 %, 5934 MiB, 4930 MiB, 1004 MiB
37 %, 4 %, 5934 MiB, 4926 MiB, 1008 MiB
2 %, 0 %, 5934 MiB, 4926 MiB, 1008 MiB
1 %, 0 %, 5934 MiB, 4936 MiB, 998 MiB
21 %, 4 %, 5934 MiB, 4926 MiB, 1008 MiB
36 %, 13 %, 5934 MiB, 4926 MiB, 1008 MiB
4 %, 0 %, 5934 MiB, 4937 MiB, 997 MiB
5 %, 2 %, 5934 MiB, 4938 MiB, 996 MiB
16 %, 5 %, 5934 MiB, 4967 MiB, 967 MiB
4 %, 2 %, 5934 MiB, 4968 MiB, 966 MiB
9 %, 3 %, 5934 MiB, 4968 MiB, 966 MiB
13 %, 5 %, 5934 MiB, 4967 MiB, 967 MiB
16 %, 6 %, 5934 MiB, 4967 MiB, 967 MiB
9 %, 3 %, 5934 MiB, 4967 MiB, 967 MiB
7 %, 3 %, 5934 MiB, 4967 MiB, 967 MiB
18 %, 6 %, 5934 MiB, 4967 MiB, 967 MiB
11 %, 4 %, 5934 MiB, 4969 MiB, 965 MiB
12 %, 4 %, 5934 MiB, 4969 MiB, 965 MiB
2 %, 1 %, 5934 MiB, 4969 MiB, 965 MiB
14 %, 5 %, 5934 MiB, 4969 MiB, 965 MiB
10 %, 3 %, 5934 MiB, 4969 MiB, 965 MiB
14 %, 5 %, 5934 MiB, 4969 MiB, 965 MiB
12 %, 4 %, 5934 MiB, 4969 MiB, 965 MiB
10 %, 3 %, 5934 MiB, 4969 MiB, 965 MiB
14 %, 5 %, 5934 MiB, 4969 MiB, 965 MiB
5 %, 2 %, 5934 MiB, 4969 MiB, 965 MiB
10 %, 3 %, 5934 MiB, 4969 MiB, 965 MiB
7 %, 3 %, 5934 MiB, 4969 MiB, 965 MiB
11 %, 4 %, 5934 MiB, 4969 MiB, 965 MiB
8 %, 3 %, 5934 MiB, 4969 MiB, 965 MiB
14 %, 5 %, 5934 MiB, 4969 MiB, 965 MiB
10 %, 3 %, 5934 MiB, 4969 MiB, 965 MiB
5 %, 2 %, 5934 MiB, 4969 MiB, 965 MiB
5 %, 2 %, 5934 MiB, 4969 MiB, 965 MiB
5 %, 2 %, 5934 MiB, 4969 MiB, 965 MiB
12 %, 4 %, 5934 MiB, 4969 MiB, 965 MiB
5 %, 2 %, 5934 MiB, 4969 MiB, 965 MiB
2 %, 1 %, 5934 MiB, 4969 MiB, 965 MiB
7 %, 3 %, 5934 MiB, 4973 MiB, 961 MiB
3 %, 1 %, 5934 MiB, 4969 MiB, 965 MiB
15 %, 6 %, 5934 MiB, 4969 MiB, 965 MiB
20 %, 8 %, 5934 MiB, 4969 MiB, 965 MiB
11 %, 4 %, 5934 MiB, 4972 MiB, 962 MiB
7 %, 2 %, 5934 MiB, 4969 MiB, 965 MiB
13 %, 5 %, 5934 MiB, 4972 MiB, 962 MiB
10 %, 5 %, 5934 MiB, 4972 MiB, 962 MiB
16 %, 6 %, 5934 MiB, 4968 MiB, 966 MiB
15 %, 6 %, 5934 MiB, 4968 MiB, 966 MiB
9 %, 3 %, 5934 MiB, 4968 MiB, 966 MiB
7 %, 3 %, 5934 MiB, 4968 MiB, 966 MiB
2 %, 1 %, 5934 MiB, 4968 MiB, 966 MiB
7 %, 2 %, 5934 MiB, 4968 MiB, 966 MiB
5 %, 2 %, 5934 MiB, 4968 MiB, 966 MiB
17 %, 5 %, 5934 MiB, 4968 MiB, 966 MiB
19 %, 5 %, 5934 MiB, 4968 MiB, 966 MiB
11 %, 4 %, 5934 MiB, 4968 MiB, 966 MiB
14 %, 5 %, 5934 MiB, 4968 MiB, 966 MiB
20 %, 7 %, 5934 MiB, 4968 MiB, 966 MiB
18 %, 8 %, 5934 MiB, 4968 MiB, 966 MiB
34 %, 14 %, 5934 MiB, 4968 MiB, 966 MiB
24 %, 9 %, 5934 MiB, 4968 MiB, 966 MiB
0 %, 0 %, 5934 MiB, 4968 MiB, 966 MiB
5 %, 2 %, 5934 MiB, 4968 MiB, 966 MiB
11 %, 4 %, 5934 MiB, 4968 MiB, 966 MiB
7 %, 3 %, 5934 MiB, 4958 MiB, 976 MiB
5 %, 2 %, 5934 MiB, 4968 MiB, 966 MiB
13 %, 5 %, 5934 MiB, 4968 MiB, 966 MiB
5 %, 2 %, 5934 MiB, 4968 MiB, 966 MiB
10 %, 3 %, 5934 MiB, 4968 MiB, 966 MiB
5 %, 2 %, 5934 MiB, 4968 MiB, 966 MiB
12 %, 5 %, 5934 MiB, 4968 MiB, 966 MiB
11 %, 4 %, 5934 MiB, 4968 MiB, 966 MiB
12 %, 4 %, 5934 MiB, 4968 MiB, 966 MiB
7 %, 3 %, 5934 MiB, 4968 MiB, 966 MiB
2 %, 1 %, 5934 MiB, 4968 MiB, 966 MiB
5 %, 2 %, 5934 MiB, 4968 MiB, 966 MiB
5 %, 2 %, 5934 MiB, 4968 MiB, 966 MiB
2 %, 1 %, 5934 MiB, 4968 MiB, 966 MiB
7 %, 3 %, 5934 MiB, 4970 MiB, 964 MiB
19 %, 9 %, 5934 MiB, 4970 MiB, 964 MiB
0 %, 0 %, 5934 MiB, 4970 MiB, 964 MiB
12 %, 4 %, 5934 MiB, 4970 MiB, 964 MiB
2 %, 1 %, 5934 MiB, 4970 MiB, 964 MiB
30 %, 13 %, 5934 MiB, 4970 MiB, 964 MiB
4 %, 2 %, 5934 MiB, 4970 MiB, 964 MiB
5 %, 2 %, 5934 MiB, 4970 MiB, 964 MiB
2 %, 1 %, 5934 MiB, 4970 MiB, 964 MiB
10 %, 4 %, 5934 MiB, 4970 MiB, 964 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
11 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
11 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
12 %, 5 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
15 %, 5 %, 5934 MiB, 5033 MiB, 901 MiB
11 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
9 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
13 %, 5 %, 5934 MiB, 5033 MiB, 901 MiB
19 %, 7 %, 5934 MiB, 5033 MiB, 901 MiB
14 %, 5 %, 5934 MiB, 5033 MiB, 901 MiB
13 %, 5 %, 5934 MiB, 5033 MiB, 901 MiB
17 %, 6 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
12 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
19 %, 7 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
19 %, 7 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
15 %, 5 %, 5934 MiB, 5033 MiB, 901 MiB
20 %, 7 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
12 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
12 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
13 %, 5 %, 5934 MiB, 5023 MiB, 911 MiB
13 %, 5 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
16 %, 6 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
3 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
4 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
12 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
14 %, 5 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
14 %, 5 %, 5934 MiB, 5033 MiB, 901 MiB
24 %, 9 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
9 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
8 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
19 %, 7 %, 5934 MiB, 5033 MiB, 901 MiB
22 %, 8 %, 5934 MiB, 5033 MiB, 901 MiB
12 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
14 %, 5 %, 5934 MiB, 5033 MiB, 901 MiB
22 %, 8 %, 5934 MiB, 5033 MiB, 901 MiB
10 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
0 %, 0 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
1 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
3 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
24 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
1 %, 0 %, 5934 MiB, 5033 MiB, 901 MiB
27 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
28 %, 6 %, 5934 MiB, 5033 MiB, 901 MiB
19 %, 4 %, 5934 MiB, 5033 MiB, 901 MiB
19 %, 7 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
8 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
18 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
44 %, 10 %, 5934 MiB, 5033 MiB, 901 MiB
11 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
1 %, 0 %, 5934 MiB, 5023 MiB, 911 MiB
8 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
7 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
2 %, 1 %, 5934 MiB, 5033 MiB, 901 MiB
5 %, 2 %, 5934 MiB, 5033 MiB, 901 MiB
0 %, 0 %, 5934 MiB, 5033 MiB, 901 MiB
0 %, 0 %, 5934 MiB, 5034 MiB, 900 MiB
10 %, 3 %, 5934 MiB, 5033 MiB, 901 MiB
33 %, 4 %, 5934 MiB, 5022 MiB, 912 MiB
2 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5012 MiB, 922 MiB
38 %, 19 %, 5934 MiB, 5012 MiB, 922 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
0 %, 0 %, 5934 MiB, 5022 MiB, 912 MiB
12 %, 5 %, 5934 MiB, 5022 MiB, 912 MiB
31 %, 12 %, 5934 MiB, 5032 MiB, 902 MiB
4 %, 1 %, 5934 MiB, 4876 MiB, 1058 MiB
40 %, 9 %, 5934 MiB, 4872 MiB, 1062 MiB
8 %, 0 %, 5934 MiB, 4879 MiB, 1055 MiB
12 %, 1 %, 5934 MiB, 4879 MiB, 1055 MiB
8 %, 1 %, 5934 MiB, 4896 MiB, 1038 MiB
32 %, 4 %, 5934 MiB, 5031 MiB, 903 MiB
12 %, 1 %, 5934 MiB, 5057 MiB, 877 MiB
16 %, 2 %, 5934 MiB, 5058 MiB, 876 MiB
14 %, 3 %, 5934 MiB, 5058 MiB, 876 MiB
30 %, 7 %, 5934 MiB, 5058 MiB, 876 MiB
30 %, 6 %, 5934 MiB, 5058 MiB, 876 MiB
